Date,GCM,Deficit in, AET in, soil_water in, runoff in, rain in, accumswe in, PET in 
2007-08-01,gridmet.historical,0.0,0.16141732283464566,1.7283464566929134,0.2440944881889764,0.4055118110236221,0.0,0.16141732283464566
2007-08-02,gridmet.historical,0.003937007874015749,0.15748031496062992,1.6141732283464567,0.0,0.043307086614173235,0.0,0.16141732283464566
2007-08-03,gridmet.historical,0.0,0.15748031496062992,1.7283464566929134,0.84251968503937,1.1141732283464567,0.0,0.15748031496062992
2007-08-04,gridmet.historical,0.0,0.15748031496062992,1.7283464566929134,0.1220472440944882,0.2795275590551181,0.0,0.15748031496062992
2007-08-05,gridmet.historical,0.0,0.1456692913385827,1.7283464566929134,0.0,0.1456692913385827,0.0,0.1456692913385827
2007-08-06,gridmet.historical,0.0,0.12598425196850396,1.7283464566929134,0.39763779527559057,0.5236220472440946,0.0,0.12598425196850396
2007-08-07,gridmet.historical,0.0,0.12992125984251968,1.7283464566929134,0.05118110236220473,0.1811023622047244,0.0,0.12992125984251968
2007-08-08,gridmet.historical,0.007874015748031498,0.14960629921259844,1.578740157480315,0.0,0.0,0.0,0.15748031496062992
2007-08-09,gridmet.historical,0.0,0.16141732283464566,1.6811023622047245,0.0,0.2677165354330709,0.0,0.16141732283464566
2007-08-10,gridmet.historical,0.011811023622047244,0.15354330708661418,1.5433070866141734,0.0,0.015748031496062995,0.0,0.16535433070866143
2007-08-11,gridmet.historical,0.027559055118110236,0.1456692913385827,1.3976377952755907,0.0,0.0,0.0,0.16929133858267717
2007-08-12,gridmet.historical,0.043307086614173235,0.1377952755905512,1.2559055118110236,0.0,0.0,0.0,0.1811023622047244
2007-08-13,gridmet.historical,0.05511811023622047,0.1220472440944882,1.1338582677165354,0.0,0.0,0.0,0.1811023622047244
2007-08-14,gridmet.historical,0.06299212598425198,0.10629921259842522,1.0275590551181104,0.0,0.0,0.0,0.16929133858267717
2007-08-15,gridmet.historical,0.07480314960629922,0.0984251968503937,0.9291338582677167,0.0,0.0,0.0,0.17322834645669294
2007-08-16,gridmet.historical,0.07086614173228346,0.0984251968503937,0.8543307086614174,0.0,0.023622047244094488,0.0,0.16929133858267717
2007-08-17,gridmet.historical,0.0905511811023622,0.08267716535433071,0.7716535433070867,0.0,0.0,0.0,0.17322834645669294
2007-08-18,gridmet.historical,0.05118110236220473,0.11811023622047245,0.7322834645669293,0.0,0.07874015748031496,0.0,0.16929133858267717
2007-08-19,gridmet.historical,0.0984251968503937,0.06692913385826772,0.6653543307086613,0.0,0.0,0.0,0.16929133858267717
2007-08-20,gridmet.historical,0.0984251968503937,0.07086614173228346,0.610236220472441,0.0,0.015748031496062995,0.0,0.16929133858267717
2007-08-21,gridmet.historical,0.1141732283464567,0.05905511811023623,0.5511811023622047,0.0,0.0,0.0,0.16929133858267717
2007-08-22,gridmet.historical,0.11811023622047245,0.05118110236220473,0.5,0.0,0.0,0.0,0.16929133858267717
2007-08-23,gridmet.historical,0.0,0.16929133858267717,0.7480314960629921,0.0,0.4173228346456693,0.0,0.16929133858267717
2007-08-24,gridmet.historical,0.011811023622047244,0.15748031496062992,0.7401574803149606,0.0,0.14960629921259844,0.0,0.16929133858267717
2007-08-25,gridmet.historical,0.0,0.15354330708661418,0.8858267716535434,0.0,0.2992125984251969,0.0,0.15354330708661418
2007-08-26,gridmet.historical,0.05118110236220473,0.10236220472440946,0.8346456692913387,0.0,0.05118110236220473,0.0,0.15354330708661418
2007-08-27,gridmet.historical,0.0,0.15748031496062992,0.8937007874015748,0.0,0.21653543307086615,0.0,0.15748031496062992
2007-08-28,gridmet.historical,0.08267716535433071,0.08267716535433071,0.8110236220472442,0.0,0.0,0.0,0.16535433070866143
2007-08-29,gridmet.historical,0.0905511811023622,0.07480314960629922,0.7401574803149606,0.0,0.0,0.0,0.16535433070866143
2007-08-30,gridmet.historical,0.0905511811023622,0.06299212598425198,0.673228346456693,0.0,0.0,0.0,0.15748031496062992
2007-08-31,gridmet.historical,0.0984251968503937,0.05905511811023623,0.6181102362204725,0.0,0.0,0.0,0.15748031496062992
2007-09-01,gridmet.historical,0.0,0.16141732283464566,0.6220472440944883,0.0,0.16535433070866143,0.0,0.16141732283464566
2007-09-02,gridmet.historical,0.0984251968503937,0.05118110236220473,0.5708661417322834,0.0,0.0,0.0,0.14960629921259844
2007-09-03,gridmet.historical,0.0984251968503937,0.047244094488188976,0.5236220472440946,0.0,0.0,0.0,0.14173228346456693
2007-09-04,gridmet.historical,0.10629921259842522,0.043307086614173235,0.48031496062992124,0.0,0.0,0.0,0.14960629921259844
2007-09-05,gridmet.historical,0.10629921259842522,0.03937007874015748,0.44488188976377957,0.0,0.0,0.0,0.14173228346456693
2007-09-06,gridmet.historical,0.0,0.11811023622047245,0.5275590551181103,0.0,0.20078740157480315,0.0,0.11811023622047245
2007-09-07,gridmet.historical,0.0,0.12992125984251968,0.5826771653543308,0.0,0.18503937007874016,0.0,0.12992125984251968
2007-09-08,gridmet.historical,0.0984251968503937,0.047244094488188976,0.5393700787401575,0.0,0.0,0.0,0.14173228346456693
2007-09-09,gridmet.historical,0.0,0.1377952755905512,0.9370078740157481,0.0,0.5354330708661418,0.0,0.1377952755905512
2007-09-10,gridmet.historical,0.06692913385826772,0.07480314960629922,0.8622047244094488,0.0,0.0,0.0,0.14173228346456693
2007-09-11,gridmet.historical,0.06299212598425198,0.07874015748031496,0.8031496062992126,0.0,0.01968503937007874,0.0,0.14173228346456693
2007-09-12,gridmet.historical,0.07480314960629922,0.05905511811023623,0.7440944881889764,0.0,0.0,0.0,0.13385826771653545
2007-09-13,gridmet.historical,0.08267716535433071,0.05905511811023623,0.6850393700787402,0.0,0.0,0.0,0.1456692913385827
2007-09-14,gridmet.historical,0.0905511811023622,0.05511811023622047,0.6259842519685039,0.0,0.0,0.0,0.1456692913385827
2007-09-15,gridmet.historical,0.09448818897637795,0.05118110236220473,0.5787401574803149,0.0,0.0,0.0,0.1456692913385827
2007-09-16,gridmet.historical,0.007874015748031498,0.12598425196850396,0.5708661417322834,0.0,0.1220472440944882,0.0,0.1377952755905512
2007-09-17,gridmet.historical,0.08267716535433071,0.03937007874015748,0.531496062992126,0.0,0.0,0.0,0.1220472440944882
2007-09-18,gridmet.historical,0.08267716535433071,0.03543307086614173,0.49606299212598426,0.0,0.0,0.0,0.11811023622047245
2007-09-19,gridmet.historical,0.0905511811023622,0.03543307086614173,0.46456692913385833,0.0,0.0,0.0,0.1220472440944882
2007-09-20,gridmet.historical,0.08661417322834647,0.03149606299212599,0.4330708661417323,0.0,0.0,0.0,0.11811023622047245
2007-09-21,gridmet.historical,0.08661417322834647,0.027559055118110236,0.4055118110236221,0.0,0.0,0.0,0.1141732283464567
2007-09-22,gridmet.historical,0.07874015748031496,0.043307086614173235,0.38188976377952755,0.0,0.01968503937007874,0.0,0.11811023622047245
2007-09-23,gridmet.historical,0.0,0.10629921259842522,0.48031496062992124,0.0,0.20078740157480315,0.0,0.10629921259842522
2007-09-24,gridmet.historical,0.07874015748031496,0.027559055118110236,0.4488188976377953,0.0,0.0,0.0,0.10629921259842522
2007-09-25,gridmet.historical,0.08267716535433071,0.027559055118110236,0.421259842519685,0.0,0.0,0.0,0.11023622047244094
2007-09-26,gridmet.historical,0.0905511811023622,0.027559055118110236,0.3937007874015748,0.0,0.0,0.0,0.11811023622047245
2007-09-27,gridmet.historical,0.0905511811023622,0.023622047244094488,0.3700787401574803,0.0,0.0,0.0,0.1141732283464567
2007-09-28,gridmet.historical,0.0905511811023622,0.023622047244094488,0.3464566929133859,0.0,0.0,0.0,0.1141732283464567
2007-09-29,gridmet.historical,0.0905511811023622,0.01968503937007874,0.3228346456692913,0.0,0.0,0.0,0.11023622047244094
2007-09-30,gridmet.historical,0.09448818897637795,0.01968503937007874,0.3031496062992126,0.0,0.0,0.0,0.11811023622047245
2007-10-01,gridmet.historical,0.07874015748031496,0.03937007874015748,0.2874015748031496,0.0,0.023622047244094488,0.0,0.11811023622047245
2007-10-02,gridmet.historical,0.09448818897637795,0.01968503937007874,0.2677165354330709,0.0,0.0,0.0,0.1141732283464567
2007-10-03,gridmet.historical,0.011811023622047244,0.11023622047244094,0.2677165354330709,0.0,0.10629921259842522,0.0,0.11811023622047245
2007-10-04,gridmet.historical,0.0984251968503937,0.015748031496062995,0.24803149606299213,0.0,0.0,0.0,0.11811023622047245
2007-10-05,gridmet.historical,0.09448818897637795,0.015748031496062995,0.23228346456692917,0.0,0.0,0.0,0.11023622047244094
2007-10-06,gridmet.historical,0.08267716535433071,0.011811023622047244,0.2204724409448819,0.0,0.0,0.0,0.09448818897637795
2007-10-07,gridmet.historical,0.07086614173228346,0.011811023622047244,0.21259842519685043,0.0,0.0,0.0,0.07874015748031496
2007-10-08,gridmet.historical,0.07874015748031496,0.011811023622047244,0.20078740157480315,0.0,0.0,0.0,0.0905511811023622
2007-10-09,gridmet.historical,0.0,0.10629921259842522,0.2283464566929134,0.0,0.13385826771653545,0.0,0.10629921259842522
2007-10-10,gridmet.historical,0.03149606299212599,0.08267716535433071,0.22440944881889766,0.0,0.07874015748031496,0.0,0.1141732283464567
2007-10-11,gridmet.historical,0.09448818897637795,0.011811023622047244,0.20866141732283466,0.0,0.0,0.0,0.11023622047244094
2007-10-12,gridmet.historical,0.0905511811023622,0.011811023622047244,0.1968503937007874,0.0,0.0,0.0,0.10629921259842522
2007-10-13,gridmet.historical,0.07480314960629922,0.007874015748031498,0.1889763779527559,0.0,0.0,0.0,0.08661417322834647
2007-10-14,gridmet.historical,0.06299212598425198,0.007874015748031498,0.1811023622047244,0.0,0.0,0.0,0.07086614173228346
2007-10-15,gridmet.historical,0.07086614173228346,0.007874015748031498,0.17322834645669294,0.0,0.0,0.0,0.07874015748031496
2007-10-16,gridmet.historical,0.07086614173228346,0.007874015748031498,0.16535433070866143,0.0,0.0,0.0,0.07874015748031496
2007-10-17,gridmet.historical,0.05905511811023623,0.007874015748031498,0.15748031496062992,0.0,0.0,0.0,0.06692913385826772
2007-10-18,gridmet.historical,0.05905511811023623,0.007874015748031498,0.15354330708661418,0.0,0.0,0.0,0.06692913385826772
2007-10-19,gridmet.historical,0.07480314960629922,0.007874015748031498,0.1456692913385827,0.0,0.0,0.0,0.08267716535433071
